DBN,School Name,Cohort,Demographic,Total Grads - % of cohort,Total Regents - % of cohort,Advanced Regents - % of cohort,Regents w/o Advanced - % of cohort,Local - % of cohort,Still Enrolled - % of cohort,Dropped Out - % of cohort
10X430,WALTON HIGH SCHOOL,2005,Male,s,s,s,s,s,s,s
10X433,HIGH SCHOOL FOR TEACHING AND THE PROF,2005,Male,46.3%,34.1%,2.4%,31.7%,12.2%,31.7%,19.5%
10X433,HIGH SCHOOL FOR TEACHING AND THE PROF,2006,Male,58.8%,35.3%,0%,35.3%,23.5%,13.7%,27.5%
10X434,BELMONT PREPARATORY HIGH SCHOOL,2005,Male,42.1%,39.5%,5.3%,34.2%,2.6%,50%,5.3%
10X434,BELMONT PREPARATORY HIGH SCHOOL,2006,Male,63.5%,61.5%,1.9%,59.6%,1.9%,19.2%,15.4%
10X437,FORDHAM HIGH SCHOOL FOR THE ARTS,2005,Male,65%,32.5%,2.5%,30%,32.5%,7.5%,15%
10X437,FORDHAM HIGH SCHOOL FOR THE ARTS,2006,Male,65.6%,53.1%,18.8%,34.4%,12.5%,25%,0%
10X438,FORDHAM LEADERSHIP ACADEMY FOR BUSINE,2005,Male,45.2%,34.2%,1.4%,32.9%,11%,23.3%,24.7%
10X438,FORDHAM LEADERSHIP ACADEMY FOR BUSINE,2006,Male,43.2%,42%,0%,42%,1.1%,21.6%,19.3%
10X439,BRONX HIGH SCHOOL FOR LAW AND COMMUNI,2005,Male,40.5%,35.7%,2.4%,33.3%,4.8%,33.3%,26.2%
10X439,BRONX HIGH SCHOOL FOR LAW AND COMMUNI,2006,Male,32.6%,23.9%,0%,23.9%,8.7%,52.2%,10.9%
10X440,DEWITT CLINTON HIGH SCHOOL,2005,Male,52.4%,37.8%,14.4%,23.4%,14.6%,24.7%,17.8%
10X440,DEWITT CLINTON HIGH SCHOOL,2006,Male,53.6%,36.3%,10.5%,25.9%,17.2%,21.6%,18.7%
10X442,CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC,2005,Male,67.9%,53.6%,10.7%,42.9%,14.3%,28.6%,0%
10X442,CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC,2006,Male,75%,60%,17.5%,42.5%,15%,22.5%,2.5%
10X445,BRONX HIGH SCHOOL OF SCIENCE,2005,Male,98.4%,98.4%,96.4%,2%,0%,1.6%,0%
10X445,BRONX HIGH SCHOOL OF SCIENCE,2006,Male,98.7%,98.7%,98.4%,0.3%,0%,1.3%,0%
10X475,JOHN F. KENNEDY HIGH SCHOOL,2005,Male,34.7%,15.1%,0%,15.1%,19.6%,28.5%,18.5%
10X475,JOHN F. KENNEDY HIGH SCHOOL,2006,Male,33.8%,17.2%,2.5%,14.6%,16.6%,20.7%,33.1%
10X477,MARBLE HILL HIGH SCHOOL FOR INTERNATI,2005,Male,90.7%,88.4%,14%,74.4%,2.3%,9.3%,0%
10X477,MARBLE HILL HIGH SCHOOL FOR INTERNATI,2006,Male,86.7%,86.7%,20%,66.7%,0%,13.3%,0%
10X495,UNIVERSITY HEIGHTS,2005,Male,81.4%,44.2%,0%,44.2%,37.2%,4.7%,14%
10X495,UNIVERSITY HEIGHTS,2006,Male,88%,36%,0%,36%,52%,0%,8%
10X546,BRONX THEATRE HIGH SCHOOL,2005,Male,44%,24%,0%,24%,20%,36%,20%
10X546,BRONX THEATRE HIGH SCHOOL,2006,Male,38.9%,25%,0%,25%,13.9%,38.9%,19.4%
11X253,BRONX HIGH SCHOOL FOR WRITING AND COM,2005,Male,65%,37.5%,0%,37.5%,27.5%,17.5%,15%
10X549,DISCOVERY HIGH SCHOOL,2005,Male,55.3%,38.3%,19.1%,19.1%,17%,21.3%,14.9%
10X549,DISCOVERY HIGH SCHOOL,2006,Male,52%,48%,26%,22%,4%,18%,18%
10X660,GRACE DODGE CAREER AND TECHNICAL EDUC,2005,Male,34.1%,19.4%,3.9%,15.5%,14.7%,31.8%,27.1%
10X660,GRACE DODGE CAREER AND TECHNICAL EDUC,2006,Male,36.2%,26.2%,1.5%,24.6%,10%,30%,26.9%
10X696,HIGH SCHOOL OF AMERICAN STUDIES AT LE,2005,Male,92.1%,92.1%,78.9%,13.2%,0%,5.3%,0%
10X696,HIGH SCHOOL OF AMERICAN STUDIES AT LE,2006,Male,97.5%,97.5%,82.5%,15%,0%,2.5%,0%
11X249,BRONX HEALTH SCIENCES HIGH SCHOOL,2005,Male,s,s,s,s,s,s,s
11X249,BRONX HEALTH SCIENCES HIGH SCHOOL,2006,Male,s,s,s,s,s,s,s
11X253,BRONX HIGH SCHOOL FOR WRITING AND COM,2006,Male,61.4%,56.8%,0%,56.8%,4.5%,22.7%,11.4%
11X265,BRONX LAB SCHOOL,2005,Male,69.6%,39.1%,0%,39.1%,30.4%,30.4%,0%
11X265,BRONX LAB SCHOOL,2006,Male,56.4%,36.4%,1.8%,34.5%,20%,36.4%,7.3%
11X270,ACADEMY FOR SCHOLARSHIP AND ENTRENEURSHIP,2005,Male,56.1%,26.8%,2.4%,24.4%,29.3%,31.7%,9.8%
11X270,ACADEMY FOR SCHOLARSHIP AND ENTRENEURSHIP,2006,Male,72.2%,55.6%,2.8%,52.8%,16.7%,25%,2.8%
11X275,HIGH SCHOOL OF COMPUTERS AND TECHNOLO,2005,Male,78.9%,55.3%,0%,55.3%,23.7%,18.4%,1.3%
11X275,HIGH SCHOOL OF COMPUTERS AND TECHNOLO,2006,Male,84.5%,70.4%,14.1%,56.3%,14.1%,14.1%,1.4%
11X288,COLLEGIATE INSTITUTE FOR MATH AND SCI,2005,Male,67.2%,54.7%,18.8%,35.9%,12.5%,15.6%,12.5%
11X288,COLLEGIATE INSTITUTE FOR MATH AND SCI,2006,Male,61.5%,50.8%,20%,30.8%,10.8%,10.8%,21.5%
11X290,BRONX ACADEMY OF HEALTH CAREERS,2005,Male,44.4%,40.7%,7.4%,33.3%,3.7%,22.2%,29.6%
11X290,BRONX ACADEMY OF HEALTH CAREERS,2006,Male,48.6%,42.9%,5.7%,37.1%,5.7%,20%,31.4%
11X299,ASTOR COLLEGIATE ACADEMY,2005,Male,66.1%,26.8%,3.6%,23.2%,39.3%,26.8%,7.1%
11X299,ASTOR COLLEGIATE ACADEMY,2006,Male,58.6%,34.3%,1.4%,32.9%,24.3%,28.6%,12.9%
11X415,CHRISTOPHER COLUMBUS HIGH SCHOOL,2005,Male,32.2%,17.4%,2.7%,14.8%,14.8%,37.5%,20.1%
11X415,CHRISTOPHER COLUMBUS HIGH SCHOOL,2006,Male,34.9%,20.5%,2.8%,17.7%,14.4%,41.4%,15.8%
11X418,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,2005,Male,34%,24%,0%,24%,10%,40%,18%
11X418,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,2006,Male,64.8%,50%,9.3%,40.7%,14.8%,14.8%,13%
12X248,METROPOLITAN HIGH SCHOOL  THE,2006,Male,63%,26.1%,0%,26.1%,37%,10.9%,15.2%
11X425,EVANDER CHILDS HIGH SCHOOL,2005,Male,s,s,s,s,s,s,s
11X425,EVANDER CHILDS HIGH SCHOOL,2006,Male,s,s,s,s,s,s,s
11X455,HARRY S TRUMAN HIGH SCHOOL,2005,Male,54.3%,41.9%,2.1%,39.9%,12.3%,27%,11.4%
11X455,HARRY S TRUMAN HIGH SCHOOL,2006,Male,56.4%,48.7%,3.4%,45.3%,7.7%,21.5%,12.8%
11X513,NEW WORLD HIGH SCHOOL,2005,Male,76%,44%,12%,32%,32%,24%,0%
11X513,NEW WORLD HIGH SCHOOL,2006,Male,68.8%,53.1%,18.8%,34.4%,15.6%,28.1%,3.1%
11X514,THE BRONXWOOD PREPARATORY ACADEMY,2005,Male,49%,9.8%,0%,9.8%,39.2%,29.4%,17.6%
11X514,THE BRONXWOOD PREPARATORY ACADEMY,2006,Male,47.3%,18.2%,0%,18.2%,29.1%,36.4%,14.5%
11X541,GLOBAL ENTERPRISE HIGH SCHOOL,2005,Male,44.6%,7.7%,0%,7.7%,36.9%,32.3%,15.4%
11X541,GLOBAL ENTERPRISE HIGH SCHOOL,2006,Male,47.4%,19.7%,1.3%,18.4%,27.6%,22.4%,19.7%
11X542,PELHAM PREPARATORY ACADEMY,2005,Male,77.3%,65.9%,22.7%,43.2%,11.4%,13.6%,9.1%
11X542,PELHAM PREPARATORY ACADEMY,2006,Male,81.6%,67.3%,6.1%,61.2%,14.3%,6.1%,8.2%
11X544,HIGH SCHOOL FOR CONTEMPORARY ARTS,2005,Male,66.1%,44.1%,5.1%,39%,22%,28.8%,3.4%
11X544,HIGH SCHOOL FOR CONTEMPORARY ARTS,2006,Male,52.8%,39.6%,3.8%,35.8%,13.2%,39.6%,1.9%
11X545,BRONX AEROSPACE HIGH SCHOOL,2005,Male,89.2%,35.4%,0%,35.4%,53.8%,7.7%,3.1%
11X545,BRONX AEROSPACE HIGH SCHOOL,2006,Male,87.5%,58.9%,1.8%,57.1%,28.6%,1.8%,3.6%
12X245,NEW DAY ACADEMY,2005,Male,56%,56%,0%,56%,0%,44%,0%
12X245,NEW DAY ACADEMY,2006,Male,17.6%,17.6%,0%,17.6%,0%,35.3%,35.3%
12X248,METROPOLITAN HIGH SCHOOL  THE,2005,Male,68.6%,43.1%,2%,41.2%,25.5%,11.8%,15.7%
12X251,EXPLORATIONS ACADEMY,2005,Male,50%,44.7%,2.6%,42.1%,5.3%,10.5%,28.9%
12X251,EXPLORATIONS ACADEMY,2006,Male,65.5%,48.3%,3.4%,44.8%,17.2%,13.8%,17.2%
12X262,PERFORMANCE CONSERVATORY HIGH SCHOOL,2005,Male,42.9%,23.8%,0%,23.8%,19%,28.6%,28.6%
12X262,PERFORMANCE CONSERVATORY HIGH SCHOOL,2006,Male,s,s,s,s,s,s,s
12X271,EAST BRONX ACADEMY FOR THE FUTURE,2005,Male,51.1%,17%,2.1%,14.9%,34%,27.7%,12.8%
12X271,EAST BRONX ACADEMY FOR THE FUTURE,2006,Male,64%,52%,0%,52%,12%,20%,14%
12X278,PEACE AND DIVERSITY ACADEMY,2005,Male,s,s,s,s,s,s,s
12X278,PEACE AND DIVERSITY ACADEMY,2006,Male,41.3%,39.1%,0%,39.1%,2.2%,39.1%,15.2%
12X480,BRONX REGIONAL HIGH SCHOOL,2005,Male,10.2%,6.1%,0%,6.1%,4.1%,73.5%,14.3%
12X480,BRONX REGIONAL HIGH SCHOOL,2006,Male,15.9%,9.1%,0%,9.1%,6.8%,70.5%,6.8%
12X550,HIGH SCHOOL OF WORLD CULTURES,2005,Male,63.6%,43.2%,9.1%,34.1%,20.5%,25%,4.5%
12X550,HIGH SCHOOL OF WORLD CULTURES,2006,Male,71.4%,33.3%,4.8%,28.6%,38.1%,19%,4.8%
12X680,BRONX COALITION COMMUNITY HIGH SCHOOL,2005,Male,44.3%,31.6%,2.5%,29.1%,12.7%,35.4%,16.5%
12X680,BRONX COALITION COMMUNITY HIGH SCHOOL,2006,Male,48%,33.3%,0%,33.3%,14.7%,26.7%,24%
12X682,FANNIE LOU HAMER FREEDOM HIGH SCHOOL,2005,Male,51.1%,34%,0%,34%,17%,38.3%,6.4%
12X682,FANNIE LOU HAMER FREEDOM HIGH SCHOOL,2006,Male,54.2%,42.4%,0%,42.4%,11.9%,33.9%,5.1%
12X684,WINGS ACADEMY,2005,Male,61.8%,47.3%,3.6%,43.6%,14.5%,23.6%,10.9%
12X684,WINGS ACADEMY,2006,Male,64.4%,52.5%,5.1%,47.5%,11.9%,15.3%,10.2%
12X690,MONROE ACADEMY FOR BUSINESS/LAW,2005,Male,44.9%,23.1%,2.6%,20.5%,21.8%,23.1%,21.8%
12X690,MONROE ACADEMY FOR BUSINESS/LAW,2006,Male,40%,28%,1.3%,26.7%,12%,21.3%,29.3%
12X692,MONROE ACADEMY FOR VISUAL ARTS & DESI,2005,Male,26.4%,20.8%,2.8%,18.1%,5.6%,55.6%,9.7%
12X692,MONROE ACADEMY FOR VISUAL ARTS & DESI,2006,Male,47.1%,35.3%,2%,33.3%,11.8%,31.4%,13.7%
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOO,2005,Male,36.6%,29.3%,0%,29.3%,7.3%,41.5%,14.6%
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOO,2006,Male,73.1%,61.5%,0%,61.5%,11.5%,15.4%,7.7%
13K350,URBAN ASSEMBLY HIGH SCHOOL OF MUSIC A,2005,Male,59%,41%,0%,41%,17.9%,25.6%,15.4%
13K350,URBAN ASSEMBLY HIGH SCHOOL OF MUSIC A,2006,Male,74.4%,55.8%,0%,55.8%,18.6%,18.6%,7%
13K412,BROOKLYN COMMUNITY HIGH SCHOOL OF COM,2005,Male,s,s,s,s,s,s,s
13K412,BROOKLYN COMMUNITY HIGH SCHOOL OF COM,2006,Male,41.9%,25.6%,2.3%,23.3%,16.3%,53.5%,2.3%
13K419,SCIENCE SKILLS CENTER HIGH SCHOOL FOR,2005,Male,61.6%,55.8%,6.5%,49.3%,5.8%,28.3%,8%
13K419,SCIENCE SKILLS CENTER HIGH SCHOOL FOR,2006,Male,51.7%,39.2%,6.3%,32.9%,12.6%,36.4%,8.4%
13K430,BROOKLYN TECHNICAL HIGH SCHOOL,2005,Male,86.8%,86.8%,78.8%,8%,0%,12.2%,0.7%
13K430,BROOKLYN TECHNICAL HIGH SCHOOL,2006,Male,88%,88%,77.7%,10.3%,0%,11.2%,0.2%
13K439,BROOKLYN INTERNATIONAL HIGH SCHOOL,2005,Male,83.7%,55.8%,0%,55.8%,27.9%,14%,2.3%
13K439,BROOKLYN INTERNATIONAL HIGH SCHOOL,2006,Male,77.4%,77.4%,0%,77.4%,0%,17.7%,4.8%
13K483,THE URBAN ASSEMBLY SCHOOL FOR LAW AND,2005,Male,77.4%,58.1%,0%,58.1%,19.4%,19.4%,0%
13K483,THE URBAN ASSEMBLY SCHOOL FOR LAW AND,2006,Male,69.2%,57.7%,15.4%,42.3%,11.5%,26.9%,3.8%
13K499,ACORN COMMUNITY HIGH SCHOOL,2005,Male,41.1%,34.2%,2.7%,31.5%,6.8%,35.6%,12.3%
13K499,ACORN COMMUNITY HIGH SCHOOL,2006,Male,70%,53.3%,1.1%,52.2%,16.7%,20%,7.8%
13K509,FREEDOM ACADEMY HIGH SCHOOL,2005,Male,31.4%,28.6%,5.7%,22.9%,2.9%,60%,5.7%
13K509,FREEDOM ACADEMY HIGH SCHOOL,2006,Male,53.1%,50%,9.4%,40.6%,3.1%,40.6%,6.3%
13K553,BROOKLYN ACADEMY HIGH SCHOOL,2005,Male,34.6%,15.4%,0%,15.4%,19.2%,65.4%,0%
13K553,BROOKLYN ACADEMY HIGH SCHOOL,2006,Male,11.5%,3.8%,0%,3.8%,7.7%,61.5%,19.2%
13K575,BEDFORD STUYVESANT PREPARATORY HIGH S,2005,Male,31.8%,18.2%,0%,18.2%,13.6%,54.5%,13.6%
13K575,BEDFORD STUYVESANT PREPARATORY HIGH S,2006,Male,s,s,s,s,s,s,s
13K595,BEDFORD ACADEMY HIGH SCHOOL,2005,Male,94.4%,91.7%,69.4%,22.2%,2.8%,5.6%,0%
13K595,BEDFORD ACADEMY HIGH SCHOOL,2006,Male,85.7%,82.9%,45.7%,37.1%,2.9%,8.6%,5.7%
13K605,GEORGE WESTINGHOUSE CAREER AND TECHNI,2005,Male,54.3%,16.2%,3.8%,12.4%,38.1%,27.6%,10.5%
13K605,GEORGE WESTINGHOUSE CAREER AND TECHNI,2006,Male,38.8%,23.1%,9.4%,13.8%,15.6%,35.6%,11.9%
13K616,BROOKLYN HIGH SCHOOL FOR LEADERSHIP A,2005,Male,0%,0%,0%,0%,0%,96.4%,3.6%
13K616,BROOKLYN HIGH SCHOOL FOR LEADERSHIP A,2006,Male,3.9%,0%,0%,0%,3.9%,66.7%,27.5%
13K670,BENJAMIN BANNEKER ACADEMY,2005,Male,93%,89.5%,50%,39.5%,3.5%,4.7%,2.3%
13K670,BENJAMIN BANNEKER ACADEMY,2006,Male,88.4%,82.1%,40%,42.1%,6.3%,5.3%,4.2%
14K071,JUAN MOREL CAMPOS SECONDARY SCHOOL,2005,Male,49%,30.6%,0%,30.6%,18.4%,38.8%,8.2%
14K071,JUAN MOREL CAMPOS SECONDARY SCHOOL,2006,Male,44%,26%,0%,26%,18%,34%,20%
14K322,FOUNDATIONS ACADEMY,2005,Male,76.2%,59.5%,0%,59.5%,16.7%,19%,2.4%
14K322,FOUNDATIONS ACADEMY,2006,Male,60%,36%,4%,32%,24%,28%,0%
14K404,ACADEMY FOR YOUNG WRITERS,2005,Male,s,s,s,s,s,s,s
14K404,ACADEMY FOR YOUNG WRITERS,2006,Male,78.1%,59.4%,0%,59.4%,18.8%,18.8%,3.1%
14K449,BROOKLYN LATIN SCHOOL  THE,2006,Male,85.7%,85.7%,47.6%,38.1%,0%,14.3%,0%
14K454,GREEN SCHOOL: AN ACADEMY FOR ENVIRONM,2005,Male,s,s,s,s,s,s,s
14K454,GREEN SCHOOL: AN ACADEMY FOR ENVIRONM,2006,Male,50%,39.6%,0%,39.6%,10.4%,27.1%,16.7%
14K474,PROGRESS HIGH SCHOOL FOR PROFESSIONAL,2005,Male,54.3%,36.2%,0%,36.2%,18.1%,29.8%,14.9%
14K474,PROGRESS HIGH SCHOOL FOR PROFESSIONAL,2006,Male,50.5%,37.1%,1%,36.2%,13.3%,33.3%,11.4%
14K477,SCHOOL FOR LEGAL STUDIES,2005,Male,53.7%,22%,4.9%,17.1%,31.7%,28%,17.1%
14K477,SCHOOL FOR LEGAL STUDIES,2006,Male,52.9%,30.9%,1.5%,29.4%,22.1%,25%,20.6%
14K478,THE HIGH SCHOOL FOR ENTERPRISE  BUSIN,2005,Male,82.5%,57.7%,33%,24.7%,24.7%,16.5%,1%
14K478,THE HIGH SCHOOL FOR ENTERPRISE  BUSIN,2006,Male,82%,63.1%,1.8%,61.3%,18.9%,14.4%,3.6%
14K488,BROOKLYN PREPARATORY HIGH SCHOOL,2005,Male,74.1%,48.1%,3.7%,44.4%,25.9%,25.9%,0%
14K488,BROOKLYN PREPARATORY HIGH SCHOOL,2006,Male,75%,56.3%,0%,56.3%,18.8%,15.6%,3.1%
14K558,WILLIAMSBURG HIGH SCHOOL FOR ARCHITEC,2005,Male,69.8%,64.2%,5.7%,58.5%,5.7%,17%,9.4%
14K558,WILLIAMSBURG HIGH SCHOOL FOR ARCHITEC,2006,Male,80.2%,71.6%,3.7%,67.9%,8.6%,8.6%,8.6%
14K561,WILLIAMSBURG PREPARATORY SCHOOL,2005,Male,86.4%,79.5%,25%,54.5%,6.8%,9.1%,4.5%
14K561,WILLIAMSBURG PREPARATORY SCHOOL,2006,Male,75.5%,69.4%,10.2%,59.2%,6.1%,10.2%,12.2%
14K586,LYONS COMMUNITY SCHOOL,2006,Male,s,s,s,s,s,s,s
14K610,AUTOMOTIVE HIGH SCHOOL,2005,Male,53.9%,25%,0%,25%,28.9%,27.5%,10.8%
14K610,AUTOMOTIVE HIGH SCHOOL,2006,Male,54.6%,24.3%,0%,24.3%,30.3%,25.7%,13.8%
14K640,HARRY VAN ARSDALE HIGH SCHOOL,2005,Male,s,s,s,s,s,s,s
14K685,EL PUENTE ACADEMY FOR PEACE AND JUSTI,2005,Male,s,s,s,s,s,s,s
14K685,EL PUENTE ACADEMY FOR PEACE AND JUSTI,2006,Male,s,s,s,s,s,s,s
15K027,AGNES Y. HUMPHREY SCHOOL FOR LEADERSH,2005,Male,s,s,s,s,s,s,s
15K429,BROOKLYN SCHOOL FOR GLOBAL STUDIES,2005,Male,35.2%,24.1%,0%,24.1%,11.1%,42.6%,5.6%
15K429,BROOKLYN SCHOOL FOR GLOBAL STUDIES,2006,Male,52.3%,47.7%,0%,47.7%,4.5%,38.6%,6.8%
15K448,BROOKLYN SECONDARY SCHOOL FOR COLLABO,2005,Male,80.6%,66.7%,0%,66.7%,13.9%,11.1%,2.8%
15K448,BROOKLYN SECONDARY SCHOOL FOR COLLABO,2006,Male,80.6%,77.4%,0%,77.4%,3.2%,9.7%,3.2%
15K462,SECONDARY SCHOOL FOR LAW,2005,Male,68.8%,56.3%,12.5%,43.8%,12.5%,18.8%,3.1%
15K462,SECONDARY SCHOOL FOR LAW,2006,Male,44.4%,22.2%,0%,22.2%,22.2%,27.8%,11.1%
15K463,SECONDARY SCHOOL FOR JOURNALISM,2005,Male,42.9%,25%,7.1%,17.9%,17.9%,53.6%,3.6%
15K463,SECONDARY SCHOOL FOR JOURNALISM,2006,Male,32.3%,25.8%,3.2%,22.6%,6.5%,45.2%,12.9%
15K464,PARK SLOPE COLLEGIATE,2005,Male,51.3%,33.3%,5.1%,28.2%,17.9%,38.5%,5.1%
15K464,PARK SLOPE COLLEGIATE,2006,Male,48.6%,31.4%,2.9%,28.6%,17.1%,34.3%,11.4%
15K497,SCHOOL FOR INTERNATIONAL STUDIES,2005,Male,57.1%,46.4%,3.6%,42.9%,10.7%,25%,14.3%
15K497,SCHOOL FOR INTERNATIONAL STUDIES,2006,Male,62.9%,42.9%,0%,42.9%,20%,28.6%,5.7%
15K498,ACORN HS FOR SOCIAL JUSTICE,2005,Male,68.8%,51.6%,12.5%,39.1%,17.2%,9.4%,7.8%
15K498,ACORN HS FOR SOCIAL JUSTICE,2006,Male,81.6%,71.1%,5.3%,65.8%,10.5%,2.6%,2.6%
15K519,COBBLE HILL SCHOOL OF AMERICAN STUDIE,2005,Male,56.1%,26.8%,2.4%,24.4%,29.3%,20.7%,9.8%
15K519,COBBLE HILL SCHOOL OF AMERICAN STUDIE,2006,Male,57.6%,28.8%,0%,28.8%,28.8%,12.1%,15.2%
15K520,PACIFIC HIGH SCHOOL,2005,Male,6.9%,6.9%,0%,6.9%,0%,69%,24.1%
15K520,PACIFIC HIGH SCHOOL,2006,Male,15.2%,8.7%,0%,8.7%,6.5%,71.7%,6.5%
15K529,WEST BROOKLYN COMMUNITY HIGH SCHOOL,2005,Male,13.2%,5.7%,0%,5.7%,7.5%,66%,20.8%
15K529,WEST BROOKLYN COMMUNITY HIGH SCHOOL,2006,Male,4.7%,4.7%,0%,4.7%,0%,82.8%,9.4%
15K530,METROPOLITAN CORPORATE ACADEMY HIGH S,2005,Male,42.1%,23.7%,5.3%,18.4%,18.4%,36.8%,10.5%
15K530,METROPOLITAN CORPORATE ACADEMY HIGH S,2006,Male,27.5%,15%,0%,15%,12.5%,50%,17.5%
15K656,BROOKLYN HIGH SCHOOL OF THE ARTS,2005,Male,64.1%,39.1%,3.1%,35.9%,25%,34.4%,1.6%
15K656,BROOKLYN HIGH SCHOOL OF THE ARTS,2006,Male,52.5%,40%,5%,35%,12.5%,45%,2.5%
15K698,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL,2005,Male,7.4%,3.7%,0%,3.7%,3.7%,85.2%,7.4%
15K698,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL,2006,Male,8.3%,8.3%,0%,8.3%,0%,79.2%,12.5%
16K393,FREDERICK DOUGLASS ACADEMY IV SECONDA,2005,Male,87.9%,72.7%,6.1%,66.7%,15.2%,6.1%,6.1%
16K393,FREDERICK DOUGLASS ACADEMY IV SECONDA,2006,Male,68.9%,53.3%,2.2%,51.1%,15.6%,26.7%,2.2%
16K455,BOYS AND GIRLS HIGH SCHOOL,2005,Male,31.6%,21.5%,2%,19.5%,10.2%,46.5%,14.2%
16K455,BOYS AND GIRLS HIGH SCHOOL,2006,Male,33.2%,28.8%,1.3%,27.5%,4.4%,38.9%,19.9%
16K594,GOTHAM PROFESSIONAL ARTS ACADEMY,2006,Male,s,s,s,s,s,s,s
17K382,ACADEMY FOR COLLEGE PREPARATION AND C,2005,Male,s,s,s,s,s,s,s
17K382,ACADEMY FOR COLLEGE PREPARATION AND C,2006,Male,80.6%,75%,13.9%,61.1%,5.6%,19.4%,0%
17K408,ACADEMY OF  HOSPITALITY AND TOURISM,2005,Male,s,s,s,s,s,s,s
17K408,ACADEMY OF  HOSPITALITY AND TOURISM,2006,Male,67.5%,42.5%,0%,42.5%,25%,32.5%,0%
17K479,ERASMUS HALL CAMPUS: HS FOR BUSINESS & TECHN,2005,Male,s,s,s,s,s,s,s
17K489,W.E.B. DUBOIS ACADEMIC HIGH SCHOOL,2005,Male,16.3%,4.7%,0%,4.7%,11.6%,58.1%,23.3%
17K489,W.E.B. DUBOIS ACADEMIC HIGH SCHOOL,2006,Male,30.3%,15.2%,0%,15.2%,15.2%,36.4%,24.2%
17K524,INTERNATIONAL HIGH SCHOOL AT PROSPECT,2005,Male,47.6%,26.2%,0%,26.2%,21.4%,33.3%,14.3%
17K524,INTERNATIONAL HIGH SCHOOL AT PROSPECT,2006,Male,42.6%,42.6%,0%,42.6%,0%,48.9%,4.3%
17K528,THE HIGH SCHOOL FOR GLOBAL CITIZENSHI,2005,Male,42.9%,31%,2.4%,28.6%,11.9%,45.2%,7.1%
17K528,THE HIGH SCHOOL FOR GLOBAL CITIZENSHI,2006,Male,59.6%,40.4%,2.1%,38.299999999999997%,19.100000000000001%,25.5%,10.6%
17K531,SCHOOL FOR HUMAN RIGHTS  THE,2005,Male,66.7%,40.7%,0%,40.7%,25.9%,25.9%,7.4%
17K531,SCHOOL FOR HUMAN RIGHTS  THE,2006,Male,75.8%,33.3%,9.1%,24.2%,42.4%,12.1%,12.1%
17K533,SCHOOL FOR DEMOCRACY AND  LEADERSHIP,2005,Male,76%,32%,0%,32%,44%,12%,8%
17K533,SCHOOL FOR DEMOCRACY AND  LEADERSHIP,2006,Male,0%,0%,0%,0%,0%,87.5%,4.2%
17K537,HIGH SCHOOL FOR YOUTH AND COMMUNITY D,2005,Male,35.6%,16.9%,0%,16.9%,18.6%,33.9%,25.4%
17K537,HIGH SCHOOL FOR YOUTH AND COMMUNITY D,2006,Male,51.9%,38.5%,5.8%,32.7%,13.5%,28.8%,9.6%
17K539,HIGH SCHOOL FOR SERVICE & LEARNING AT,2005,Male,70.9%,49.1%,12.7%,36.4%,21.8%,20%,7.3%
17K539,HIGH SCHOOL FOR SERVICE & LEARNING AT,2006,Male,72.1%,59%,9.8%,49.2%,13.1%,6.6%,16.4%
17K543,SCIENCE  TECHNOLOGY AND RESEARCH EARL,2005,Male,97.6%,90.2%,12.2%,78%,7.3%,2.4%,0%
17K543,SCIENCE  TECHNOLOGY AND RESEARCH EARL,2006,Male,100%,90.9%,0%,90.9%,9.1%,0%,0%
17K544,INTERNATIONAL ARTS BUSINESS SCHOOL,2005,Male,36.7%,23.3%,3.3%,20%,13.3%,46.7%,13.3%
17K544,INTERNATIONAL ARTS BUSINESS SCHOOL,2006,Male,51.2%,34.9%,2.3%,32.6%,16.3%,32.6%,9.3%
17K546,HIGH SCHOOL FOR PUBLIC SERVICE: HEROE,2005,Male,s,s,s,s,s,s,s
17K546,HIGH SCHOOL FOR PUBLIC SERVICE: HEROE,2006,Male,s,s,s,s,s,s,s
17K547,BROOKLYN ACADEMY OF SCIENCE AND THE,2005,Male,56.7%,47.8%,6%,41.8%,9%,38.8%,3%
17K547,BROOKLYN ACADEMY OF SCIENCE AND THE,2006,Male,64.9%,45.6%,5.3%,40.4%,19.3%,31.6%,3.5%
17K548,BROOKLYN SCHOOL FOR MUSIC & THEATRE,2005,Male,73.1%,57.7%,11.5%,46.2%,15.4%,19.2%,7.7%
17K548,BROOKLYN SCHOOL FOR MUSIC & THEATRE,2006,Male,58.6%,31%,0%,31%,27.6%,27.6%,3.4%
17K568,BROWNSVILLE ACADEMY HIGH SCHOOL,2005,Male,9.7%,6.5%,0%,6.5%,3.2%,87.1%,3.2%
17K568,BROWNSVILLE ACADEMY HIGH SCHOOL,2006,Male,2.9%,0%,0%,0%,2.9%,68.6%,25.7%
17K590,MEDGAR EVERS COLLEGE PREPARATORY SCHO,2005,Male,87.2%,86%,25.6%,60.5%,1.2%,11.6%,1.2%
